无	無
学	學
时	時
处	處
驻	駐
别	別
别	彆
区	區
联	聯
络	絡
办	辦
报	報
恶	惡
恶	噁
样	樣
对	對
猪	豬
队	隊
耻	恥
带	帶
着	著
达	達
终	終
点	點
纳	納
奥	奧
卢	盧
尔	爾
阴	陰
难	難
买	買
猫	貓
书	書
黄	黃
颜	顏
阳	陽
关	關
过	過
独	獨
桥	橋
忧	憂
后	後
后	后
乐	樂
双	雙
县	縣
扫	掃
门	門
愿	願
愿	愿
鸟	鳥
连	連
亏	虧
惊	驚
经	經
沧	滄
为	為
却	卻
云	雲
云	云
发	發
发	髮
积	積
东	東
乡	鄉
穷	窮
闹	鬧
问	問
远	遠
亲	親
万	萬
万	万
萨	薩
维	維
儿	兒
汉	漢
动	動
说	說
说	説
铁	鐵
觅	覓
来	來
费	費
车	車
头	頭
钱	錢
没	沒
鱼	魚
国	國
务	務
资	資
产	產
产	産
监	監
员	員
会	會
统	統
试	試
濒	瀕
种	種
际	際
贸	貿
约	約
级	級
专	專
从	從
个	個
诸	諸
胜	勝
赛	賽
党	黨
传	傳
权	權
锈	銹
锈	鏽
长	長
马	馬
许	許
灯	燈
软	軟
悦	悅
测	測
风	風
祸	禍
则	則
丑	醜
丑	丑
轻	輕
亚	亞
妇	婦
视	視
济	濟
舍	捨
舍	舍
剐	剮
虚	虛
进	進
骄	驕
运	運
筹	籌
决	決
镇	鎮
彝	彞
证	證
综	綜
价	價
线	線
电	電
频	頻
谱	譜
银	銀
业	業
责	責
还	還
创	創
伤	傷
压	壓
紧	緊
张	張
矶	磯
质	質
检	檢
验	驗
总	總
组	組
织	織
实	實
践	踐
标	標
准	準
准	准
闭	閉
环	環
机	機
师	師
罗	羅
罗	囉
苏	蘇
苏	甦
苏	囌
义	義
给	給
鸡	雞
绳	繩
顶	頂
听	聽
识	識
货	貨
严	嚴
纪	紀
险	險
计	計
网	網
协	協
气	氣
团	團
团	糰
临	臨
执	執
渊	淵
羡	羨
结	結
凭	憑
稳	穩
钓	釣
台	臺
台	檯
台	颱
台	台
伦	倫
贫	貧
内	內
热	熱
农	農
见	見
制	製
制	制
厂	廠
厂	厂
鹅	鵝
礼	禮
单	單
丝	絲
类	類
减	減
征	徵
征	征
喷	噴
针	針
写	寫
编	編
读	讀
储	儲
钟	鐘
钟	鍾
梦	夢
荡	蕩
荡	盪
话	話
哑	啞
军	軍
